Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-07,107.26249694824219,95.10774307250976,1,100.79965771325618,100.79965771325618,50100.79965771326,21.88784083980555,OTM_WIN,50100.79965771326,0.0
2019-01-14,108.03958892822266,96.53624725341797,1,102.31365360702608,102.31365360702608,50203.11331132028,21.88784083980555,OTM_WIN,50203.11331132028,0.0
2019-01-21,106.00592803955078,97.23563003540039,1,103.05489236169431,103.05489236169431,50306.16820368198,21.88784083980555,OTM_WIN,50306.16820368198,0.0
2019-01-28,110.9412612915039,95.4053352355957,1,101.1150598793484,101.1150598793484,50407.28326356132,21.88784083980555,OTM_WIN,50407.28326356132,0.0
2019-02-04,109.45321655273438,99.84713516235352,1,105.82268827829593,105.82268827829593,50513.10595183962,21.88784083980555,OTM_WIN,50513.10595183962,0.0
2019-02-11,112.74343872070312,98.50789489746094,1,104.40329847956984,104.40329847956984,50617.50925031919,21.88784083980555,OTM_WIN,50617.50925031919,0.0
2019-02-18,112.92530059814453,101.46909484863282,1,107.54171741220154,107.54171741220154,50725.0509677314,21.88784083980555,OTM_WIN,50725.0509677314,0.0
2019-02-25,115.13054656982422,101.63277053833008,1,107.71518860355225,107.71518860355225,50832.76615633495,21.88784083980555,OTM_WIN,50832.76615633495,0.0
2019-03-04,114.88922119140625,103.6174919128418,1,109.81868963032395,109.81868963032395,50942.58484596527,21.88784083980555,OTM_WIN,50942.58484596527,0.0
2019-03-11,114.50642395019531,103.40029907226562,1,109.58849844629852,109.58849844629852,51052.17334441157,21.88784083980555,OTM_WIN,51052.17334441157,0.0
2019-03-18,113.93222045898438,103.05578155517578,1,109.22336258378098,109.22336258378098,51161.39670699535,21.88784083980555,OTM_WIN,51161.39670699535,0.0
2019-03-25,116.32886505126953,102.53899841308593,1,108.67565151261276,108.67565151261276,51270.07235850796,21.88784083980555,OTM_WIN,51270.07235850796,0.0
2019-04-01,113.32476043701172,104.69597854614258,1,87.98860422882744,87.98860422882744,51358.06096273679,20.461807000416382,OTM_WIN,51358.06096273679,0.0
2019-04-08,113.15830993652344,101.99228439331056,1,95.69740033159488,95.69740033159488,51453.75836306838,21.097793916329188,OTM_WIN,51453.75836306838,0.0
2019-04-15,114.43982696533203,101.8424789428711,1,95.81793730134805,95.81793730134805,51549.57630036973,21.11445533910605,OTM_WIN,51549.57630036973,0.0
2019-04-22,116.82817840576172,102.99584426879883,1,91.3828139264912,91.3828139264912,51640.959114296216,20.76613421224586,OTM_WIN,51640.959114296216,0.0
